,playlist,name,_likelihood,_popularity,distance
0,Finding My Way,"['Sixteen Blue' 'Lake Superior' ""You Got Me Runnin'"" ""You Got Me Runnin'""
 'Wiped-Out']",[112.04216742 110.30009319 105.87454341 105.87454341  88.51769692],[57.93390472 57.14556546 54.1188302  54.1188302  45.99223623],[0.51707233 0.51809172 0.51115999 0.51115999 0.51958239]
1,Magic Carpet Ride,"['Feels So Good - Single Version' '¡Que Vida!' '¡Que Vida!'
 ""Gideon's Bible"" 'Wings Of My Love']",[368.38086741 367.97707475 367.97707475 357.68228252 344.85460934],[68.23497796 66.29735083 66.29735083 66.89372704 64.891883  ],[0.18522943 0.18016707 0.18016707 0.18701996 0.18817171]
2,The Love Below,"['Drowning In the Sea of Love' 'I Was Wrong' 'Streets of Arklow'
 'Hardest Of Hearts' ""Doin' Time""]",[146.02906714 143.53807874 142.64417126 142.33991004 141.39486765],[68.16834161 67.92624052 67.14396874 67.87132666 67.43661899],[0.46681351 0.47322802 0.47070952 0.4768257  0.47693824]
3,Cussin' Cryin' & Carryin' On,"['Harness Your Hopes - (B-side)' 'Train Man' 'Tobacco Road'
 'Letter from America - Band Version' 'Frank Sinatra']",[196.84781772 192.4442868  188.86270248 188.11134144 181.96574274],[67.12038708 65.94833161 65.30326833 65.43608245 63.41380338],[0.34097603 0.34268792 0.34577112 0.34785825 0.34849309]
4,Turn Your Lights Down Low,"[""You're No Good"" ""Didn't I (Blow Your Mind This Time)""
 'Christmas Must Be Tonight - Recorded at Spotify Studios NYC'
 'Frank Sinatra' 'Frank Sinatra']",[308.7282226  304.24405188 301.34547462 293.27176791 293.27176791],[67.92230849 67.29174039 65.75774422 63.41380338 63.41380338],[0.2200068  0.22117685 0.21821381 0.2162288  0.2162288 ]
5,Approaching Nirvana,"['Hold On' 'Tobacco Road' 'Fire And The Thud'
 'Night Flight - 1993 Remaster' 'Drive']",[166.6957103  166.06493806 161.5303702  157.65582455 153.36638691],[65.2277253  65.30326833 62.2005895  62.20555374 60.34286411],[0.39129816 0.39323935 0.38507056 0.39456553 0.3934556 ]
6,Soundtracks/Musical Theater/Cabaret,"[""Don't Let Me Down - 2015 Remaster"" ""Don't Let Me Down - 2015 Remaster""
 'San Franciscan Nights' 'Desperado'
 'It Takes A Lot To Laugh, It Takes A Train To Cry']",[257.43171427 257.43171427 257.37846462 245.47589795 241.38353932],[67.68945832 67.68945832 68.5666484  68.64068524 64.85797324],[0.26294141 0.26294141 0.26640398 0.27962291 0.26869261]
7,Grimes,"['Melting' 'Love Is Blue' 'Freedom Song' 'Sunset'
 'One Tree Hill - Remastered 2007']",[136.94614509 131.37923191 129.09542067 121.38603446 116.55555603],[69.57074934 66.56758396 65.48681285 61.89425205 59.98524833],[0.50801539 0.5066827  0.50727448 0.50989599 0.51464941]
8,TSSF <3<3<3<3,['PILLOWTALK' 'Magnify' 'Wildest Dreams' 'Wildest Dreams' 'Shooting Stars'],[241.45452874 235.21557106 225.51883025 218.66721954 215.57600539],[68.88680411 66.89856262 62.80371402 62.10572747 61.91637525],[0.28529928 0.28441384 0.27848545 0.28401938 0.28721367]
9,Jukebox Baby,"['Little Drummer Boy' 'Feels So Good - Single Version' '¡Que Vida!'
 '¡Que Vida!' 'Harness Your Hopes - (B-side)']",[264.14736484 250.45611321 247.3610811  247.3610811  241.1592673 ],[68.66490286 68.23497796 66.29735083 66.29735083 67.12038708],[0.25994923 0.27244285 0.26801852 0.26801852 0.2783239 ]
10,das kraut,"['Black Mare Trot' 'Ride Captain Ride - Single Version'
 ""What Do You Do When the Old Man's Gone? / From the Upper Class - Steven Wilson Stereo Remix""
 ""Sinnin' For You"" 'Please Read The Letter']",[260.89292196 211.78789552 199.46186383 183.28583607 151.6588587 ],[65.00450842 58.74068947 51.80913237 45.22848745 33.91812491],[0.24916164 0.27735622 0.25974455 0.24676477 0.2236475 ]
11,Veronica Falls – Waiting For Something To Happen,"['Tobacco Road' ""It May Be Winter Outside (But In My Heart It's Spring)""
 'No Time' ""Arthur's Theme (Best That You Can Do)"" 'Would That I']",[170.8965935  170.18260717 166.20861401 166.09302229 165.33651887],[65.30326833 66.80384126 64.96908883 64.67964342 64.21160215],[0.38212153 0.39254212 0.39088882 0.38941819 0.38836914]
12,CANCIONES DE FONDO,"['Black' 'Another Place' 'Anything For You' 'Jingle Bell Rock'
 'Faster - Remastered 2004']",[184.62681541 184.06377741 178.45989578 158.11277963 152.95584016],[67.20937843 67.28263885 65.84421145 58.43003664 56.50559496],[0.36402826 0.36553981 0.36895803 0.36954658 0.36942424]
13,Musica 231,"[""Jumpin' Jack Flash"" 'I Came As a Rat' ""I've Always Been Crazy"" 'Party'
 'King Harvest (Has Surely Come) - Live At The Academy Of Music, New York, 1971 / Remastered 2001']",[182.39660751 176.87239125 168.80271579 167.67391023 159.64621108],[64.75105392 61.91049856 59.69027694 59.50165363 56.63124323],[0.35500142 0.35002918 0.3536097  0.35486531 0.35472964]
